siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
a344,Cedar Bog,45.411111,-93.197222,45.411111,45.411111,-93.197222,-93.197222,Vascular plants,Cannabis sativa-type,2,NISP,pollen,,-10,,,Radiocarbon years BP,130,,pollen,6/30/2007,607,0.329489292
a344,Cedar Bog,45.411111,-93.197222,45.411111,45.411111,-93.197222,-93.197222,Vascular plants,Cannabis sativa-type,1,NISP,pollen,,45,,,Radiocarbon years BP,150,,pollen,6/30/2007,857,0.116686114
a824,French Lake,44.945765,-94.42074,44.9482,44.94333,-94.41676,-94.42472,Vascular plants,Cannabis sativa-type,3,NISP,pollen,,0,,,Radiocarbon years BP,610,327,pollen,6/30/2007,724.5,0.414078675
a824,French Lake,44.945765,-94.42074,44.9482,44.94333,-94.41676,-94.42472,Vascular plants,Cannabis sativa-type,4,NISP,pollen,,20,,,Radiocarbon years BP,620,327,pollen,6/30/2007,901.5,0.443704936
a824,French Lake,44.945765,-94.42074,44.9482,44.94333,-94.41676,-94.42472,Vascular plants,Cannabis sativa-type,1,NISP,pollen,,41,,,Radiocarbon years BP,630,327,pollen,6/30/2007,821,0.12180268
a824,French Lake,44.945765,-94.42074,44.9482,44.94333,-94.41676,-94.42472,Vascular plants,Cannabis sativa-type,1,NISP,pollen,,62,,,Radiocarbon years BP,640,327,pollen,6/30/2007,862.5,0.115942029
a824,French Lake,44.945765,-94.42074,44.9482,44.94333,-94.41676,-94.42472,Vascular plants,Cannabis sativa-type,2,NISP,pollen,,83,,,Radiocarbon years BP,650,327,pollen,6/30/2007,828.5,0.241400121
a2792,Upper Graven Lake,46.184444,-95.306944,46.184444,46.184444,-95.306944,-95.306944,Vascular plants,Cannabis sativa-type,1,NISP,pollen,,81,,,Radiocarbon years BP,144,446,pollen,6/30/2007,504.5,0.198216056
a2792,Upper Graven Lake,46.184444,-95.306944,46.184444,46.184444,-95.306944,-95.306944,Vascular plants,Cannabis sativa-type,1,NISP,pollen,,810,,,Radiocarbon years BP,184,446,pollen,6/30/2007,432.5,0.231213873
a2933,Wolsfeld Lake,45.005,-93.5727,45.008,45.002,-93.5684,-93.577,Vascular plants,Cannabis sativa-type,2,NISP,pollen,,0,,,Radiocarbon years BP,650,292,pollen,6/30/2007,812.5,0.246153846
a2933,Wolsfeld Lake,45.005,-93.5727,45.008,45.002,-93.5684,-93.577,Vascular plants,Cannabis sativa-type,1,NISP,pollen,,21,,,Radiocarbon years BP,662,292,pollen,6/30/2007,879.5,0.113700966
a2933,Wolsfeld Lake,45.005,-93.5727,45.008,45.002,-93.5684,-93.577,Vascular plants,Cannabis sativa-type,6,NISP,pollen,,36,,,Radiocarbon years BP,670,292,pollen,6/30/2007,600.5,0.999167361
a2933,Wolsfeld Lake,45.005,-93.5727,45.008,45.002,-93.5684,-93.577,Vascular plants,Cannabis sativa-type,4,NISP,pollen,,54,,,Radiocarbon years BP,680,292,pollen,6/30/2007,903.5,0.442722745
a3035,Brede Bridge,50.933333,-0.6,50.933333,50.933333,-0.6,-0.6,Vascular plants,Cannabis sativa-type,1,NISP,pollen,,3682,,,Radiocarbon years BP,142,190,pollen,6/30/2007,532,0.187969925
a3035,Brede Bridge,50.933333,-0.6,50.933333,50.933333,-0.6,-0.6,Vascular plants,Cannabis sativa-type,1,NISP,pollen,,3737,,,Radiocarbon years BP,156,190,pollen,6/30/2007,808,0.123762376
a3035,Brede Bridge,50.933333,-0.6,50.933333,50.933333,-0.6,-0.6,Vascular plants,Cannabis sativa-type,1,NISP,pollen,,4571,,,Radiocarbon years BP,368,190,pollen,6/30/2007,1137,0.087950748
a3035,Brede Bridge,50.933333,-0.6,50.933333,50.933333,-0.6,-0.6,Vascular plants,Cannabis sativa-type,1,NISP,pollen,,4697,,,Radiocarbon years BP,400,190,pollen,6/30/2007,511,0.195694716
a3035,Brede Bridge,50.933333,-0.6,50.933333,50.933333,-0.6,-0.6,Vascular plants,Cannabis sativa-type,1,NISP,pollen,,4729,,,Radiocarbon years BP,408,190,pollen,6/30/2007,676,0.147928994
a3035,Brede Bridge,50.933333,-0.6,50.933333,50.933333,-0.6,-0.6,Vascular plants,Cannabis sativa-type,1,NISP,pollen,,5099,,,Radiocarbon years BP,502,190,pollen,6/30/2007,1109,0.090171326
a3035,Brede Bridge,50.933333,-0.6,50.933333,50.933333,-0.6,-0.6,Vascular plants,Cannabis sativa-type,1,NISP,pollen,,5217,,,Radiocarbon years BP,532,190,pollen,6/30/2007,736,0.135869565
a3035,Brede Bridge,50.933333,-0.6,50.933333,50.933333,-0.6,-0.6,Vascular plants,Cannabis sativa-type,1,NISP,pollen,,5484,,,Radiocarbon years BP,600,190,pollen,6/30/2007,813,0.12300123
a3035,Brede Bridge,50.933333,-0.6,50.933333,50.933333,-0.6,-0.6,Vascular plants,Cannabis sativa-type,24,NISP,pollen,,5830,,,Radiocarbon years BP,688,190,pollen,6/30/2007,858,2.797202797
a29,Lake Allie,44.8036,-94.5579,44.8138,44.7934,-94.5483,-94.5675,Vascular plants,Zea mays,4,NISP,pollen,,18,,,Radiocarbon years BP,10,328,pollen,6/30/2007,415,0.963855422
a29,Lake Allie,44.8036,-94.5579,44.8138,44.7934,-94.5483,-94.5675,Vascular plants,Zea mays,1,NISP,pollen,,51,,,Radiocarbon years BP,20,328,pollen,6/30/2007,388,0.257731959
